date,price,usd_brl,rainfall_index,supply_index,day,month,year,day_of_week,day_of_year,week_of_year,quarter,price_lag_1,price_lag_5,price_lag_20,rolling_mean_5,rolling_mean_20,rolling_std_20
2019-01-29,81.34,3.947,63.02,96.48,29,1,2019,1,29,5,1,80.42,76.17,73.67,79.706,77.103,3.850941238327676
2019-01-30,79.94,3.987,55.42,103.98,30,1,2019,2,30,5,1,81.34,81.62,70.59,80.74000000000001,77.4865,3.8729184901801146
2019-01-31,83.91,3.867,60.16,105.75,31,1,2019,3,31,5,1,79.94,77.54,76.13,80.40400000000001,77.954,3.5472545351077054
2019-02-01,80.43,3.849,64.42,99.78,1,2,2019,4,32,5,1,83.91,82.78,76.76,81.678,78.34299999999999,3.7570832752072696
2019-02-04,78.71,3.783,62.92,104.96,4,2,2019,0,35,6,1,80.43,80.42,69.81,81.208,78.5265,3.7653129806306063
2019-02-05,80.47,3.92,63.95,98.41,5,2,2019,1,36,6,1,78.71,81.34,71.24,80.86600000000001,78.9715,3.157862826593172
2019-02-06,82.22,3.902,61.68,103.87,6,2,2019,2,37,6,1,80.47,79.94,74.12,80.692,79.43299999999999,2.5922924217765364
2019-02-07,81.12,3.838,66.03,102.34,7,2,2019,3,38,6,1,82.22,83.91,75.74,81.148,79.838,2.3388989762391805
2019-02-08,82.53,3.982,65.19,98.71,8,2,2019,4,39,6,1,81.12,80.43,78.26,80.59,80.107,2.144039718799426
2019-02-11,81.75,3.922,63.55,102.79,11,2,2019,0,42,7,1,82.53,78.71,75.11,81.01,80.32050000000001,2.1629547894148584
2019-02-12,85.9,3.88,65.24,103.73,12,2,2019,1,43,7,1,81.75,80.47,80.1,81.61800000000001,80.6525,1.8002744673784523
2019-02-13,79.11,3.918,64.63,102.42,13,2,2019,2,44,7,1,85.9,82.22,80.15,82.704,80.94250000000001,2.141418307669261
2019-02-14,79.71,4.033,60.46,102.63,14,2,2019,3,45,7,1,79.11,81.12,79.35,82.082,80.8905,2.1740538777035696
2019-02-15,79.24,4.001,57.29,101.01,15,2,2019,4,46,7,1,79.71,82.53,81.73,81.8,80.9085,2.1620854333380684
2019-02-18,82.52,3.95,63.45,98.71,18,2,2019,0,49,8,1,79.24,81.75,80.77,81.142,80.784,2.183872465911977
2019-02-19,83.45,4.002,63.87,102.41,19,2,2019,1,50,8,1,82.52,85.9,76.17,81.296,80.8715,2.2180723613083577
2019-02-20,78.81,3.876,65.76,103.86,20,2,2019,2,51,8,1,83.45,79.11,81.62,80.80600000000001,81.2355,1.9917156714223774
2019-02-21,78.09,3.958,58.65,102.8,21,2,2019,3,52,8,1,78.81,79.71,77.54,80.74600000000001,81.095,2.0610689612814794
2019-02-22,78.84,3.964,58.73,97.99,22,2,2019,4,53,8,1,78.09,79.24,82.78,80.422,81.1225,2.0142776555589927
2019-02-25,82.03,3.919,63.42,98.56,25,2,2019,0,56,9,1,78.84,82.52,80.42,80.34200000000001,80.9255,2.0361896173723006
2019-02-26,82.61,3.979,61.53,99.43,26,2,2019,1,57,9,1,82.03,83.45,81.34,80.244,81.006,2.046949977533974
2019-02-27,82.57,3.89,55.14,98.17,27,2,2019,2,58,9,1,82.61,78.81,79.94,80.076,81.06949999999999,2.0773299537729013
2019-02-28,78.26,3.977,63.02,100.48,28,2,2019,3,59,9,1,82.57,78.09,83.91,80.828,81.201,2.0852941228870776
2019-03-01,81.65,3.975,55.18,100.87,1,3,2019,4,60,9,1,78.26,78.84,80.43,80.862,80.91850000000001,2.0816902924508787
2019-03-04,80.28,3.727,58.21,97.99,4,3,2019,0,63,10,1,81.65,82.03,78.71,81.424,80.9795,2.084495332082492
2019-03-05,80.48,4.009,66.19,101.17,5,3,2019,1,64,10,1,80.28,82.61,80.47,81.074,81.05799999999999,2.023190809743755
2019-03-06,80.84,3.707,67.79,100.76,6,3,2019,2,65,10,1,80.48,82.57,82.22,80.648,81.05850000000001,2.023039076553681
2019-03-07,81.48,3.871,57.09,98.9,7,3,2019,3,66,10,1,80.84,78.26,81.12,80.30199999999999,80.9895,2.004790250217821
2019-03-08,82.96,3.979,60.13,99.32,8,3,2019,4,67,10,1,81.48,81.65,82.53,80.946,81.00750000000001,2.007637718943916
2019-03-11,81.24,3.878,61.22,96.52,11,3,2019,0,70,11,1,82.96,80.28,81.75,81.208,81.029,2.0270094643146255
2019-03-12,80.54,3.79,67.24,98.81,12,3,2019,1,71,11,1,81.24,80.48,85.9,81.4,81.0035,2.0206598062592307
2019-03-13,82.69,3.809,59.2,99.18,13,3,2019,2,72,11,1,80.54,80.84,79.11,81.412,80.7355,1.660388271015641
2019-03-14,77.71,3.949,59.18,99.29,14,3,2019,3,73,11,1,82.69,81.48,79.71,81.78200000000001,80.9145,1.66887757742174
2019-03-15,79.27,3.734,66.19,99.47,15,3,2019,4,74,11,1,77.71,82.96,79.24,81.02799999999999,80.8145,1.7996475532140928
2019-03-18,80.97,3.939,59.19,99.13,18,3,2019,0,77,12,1,79.27,81.24,82.52,80.28999999999999,80.816,1.7982781237968481
2019-03-19,80.04,3.848,62.94,98.24,19,3,2019,1,78,12,1,80.97,80.54,83.45,80.236,80.7385,1.7538267183204637
2019-03-20,81.77,3.759,55.15,98.93,20,3,2019,2,79,12,1,80.04,82.69,78.81,80.136,80.568,1.638300146011416
2019-03-21,86.51,3.792,59.62,99.88,21,3,2019,3,80,12,1,81.77,77.71,78.09,79.952,80.716,1.6044786003394862
2019-03-22,80.96,3.753,54.32,98.1,22,3,2019,4,81,12,1,86.51,79.27,78.84,81.712,81.137,1.9472304218529215
2019-03-25,86.71,3.875,56.12,98.6,25,3,2019,0,84,13,1,80.96,80.97,82.03,82.05,81.243,1.871852727000442
2019-03-26,78.9,3.856,62.64,97.72,26,3,2019,1,85,13,1,86.71,80.04,82.61,83.19800000000001,81.477,2.2330816564135283
2019-03-27,82.69,3.675,59.42,96.91,27,3,2019,2,86,13,1,78.9,81.77,82.57,82.97,81.29150000000001,2.287442320239156
2019-03-28,84.68,3.757,58.36,98.55,28,3,2019,3,87,13,1,82.69,86.51,78.26,83.154,81.2975,2.291126762557084
2019-03-29,86.49,3.715,56.74,96.82,29,3,2019,4,88,13,1,84.68,80.96,81.65,82.788,81.6185,2.29289583622753
2019-04-01,87.45,3.856,58.23,98.12,1,4,2019,0,91,14,2,86.49,86.71,80.28,83.894,81.8605,2.53864131709113
2019-04-02,87.0,3.662,59.94,97.47,2,4,2019,1,92,14,2,87.45,78.9,80.48,84.042,82.21900000000001,2.796834488827475
2019-04-03,84.88,3.859,62.2,96.87,3,4,2019,2,93,14,2,87.0,82.69,80.84,85.662,82.545,2.958766634934248
2019-04-04,85.84,3.734,49.44,96.73,4,4,2019,3,94,14,2,84.88,84.68,81.48,86.1,82.74699999999999,2.974105969159408
2019-04-05,88.73,3.646,55.59,96.36,5,4,2019,4,95,14,2,85.84,86.49,82.96,86.33200000000001,82.965,3.035506547513967
2019-04-08,86.1,3.671,58.65,94.56,8,4,2019,0,98,15,2,88.73,87.45,81.24,86.78,83.2535,3.297864181238354
2019-04-09,82.88,3.653,57.61,97.51,9,4,2019,1,99,15,2,86.1,87.0,80.54,86.51,83.4965,3.3206661902950456
2019-04-10,83.17,3.611,59.23,97.2,10,4,2019,2,100,15,2,82.88,84.88,82.69,85.686,83.6135,3.2515183093117703
2019-04-11,84.32,3.698,58.62,98.04,11,4,2019,3,101,15,2,83.17,85.84,77.71,85.34400000000001,83.6375,3.246110020186946
2019-04-12,88.58,3.596,56.47,95.89,12,4,2019,4,102,15,2,84.32,88.73,79.27,85.03999999999999,83.96799999999999,2.9321567416996914
2019-04-15,86.95,3.521,55.26,99.45,15,4,2019,0,105,16,2,88.58,86.1,80.97,85.01,84.43350000000001,2.885707566246963
2019-04-16,89.61,3.639,56.09,95.97,16,4,2019,1,106,16,2,86.95,82.88,80.04,85.17999999999999,84.7325,2.8169391283149565
2019-04-17,85.62,3.532,60.82,95.16,17,4,2019,2,107,16,2,89.61,83.17,81.77,86.526,85.211,2.790576058243598
2019-04-18,88.46,3.598,54.09,94.91,18,4,2019,3,108,16,2,85.62,84.32,86.51,87.01599999999999,85.40350000000001,2.6709416336802634
2019-04-19,89.62,3.58,56.28,93.74,19,4,2019,4,109,16,2,88.46,88.58,80.96,87.844,85.501,2.747940664340684
2019-04-22,86.14,3.576,56.67,98.59,22,4,2019,0,112,17,2,89.62,86.95,86.71,88.05199999999999,85.934,2.676093775400467
2019-04-23,88.63,3.771,61.33,98.3,23,4,2019,1,113,17,2,86.14,89.61,78.9,87.89000000000001,85.90549999999999,2.670423729436421
2019-04-24,85.73,3.629,54.66,97.1,24,4,2019,2,114,17,2,88.63,85.62,82.69,87.694,86.392,2.1655717611365035
2019-04-25,86.34,3.637,58.91,94.81,25,4,2019,3,115,17,2,85.73,88.46,84.68,87.716,86.54400000000001,1.9917683230315344
2019-04-26,84.7,3.49,59.7,98.84,26,4,2019,4,116,17,2,86.34,89.62,86.49,87.292,86.627,1.9440194389325536
2019-04-29,83.71,3.564,54.68,95.56,29,4,2019,0,119,18,2,84.7,86.14,87.45,86.308,86.5375,1.9912885936393467
2019-04-30,88.53,3.621,54.0,95.66,30,4,2019,1,120,18,2,83.71,88.63,87.0,85.82199999999999,86.3505,2.0749393776814085
2019-05-01,84.85,3.531,53.42,98.19,1,5,2019,2,121,18,2,88.53,85.73,84.88,85.802,86.42699999999999,2.127679981873081
2019-05-02,86.72,3.663,53.51,97.01,2,5,2019,3,122,18,2,84.85,86.34,85.84,85.626,86.4255,2.1288382673235966
2019-05-03,86.21,3.513,57.23,99.31,3,5,2019,4,123,18,2,86.72,84.7,88.73,85.702,86.4695,2.125190951173011
2019-05-06,86.88,3.575,54.54,96.38,6,5,2019,0,126,19,2,86.21,83.71,86.1,86.00399999999999,86.34349999999999,2.05774857806453
2019-05-07,87.22,3.552,54.39,95.4,7,5,2019,1,127,19,2,86.88,88.53,82.88,86.638,86.38250000000001,2.0602807039206206
2019-05-08,85.61,3.604,49.45,95.08,8,5,2019,2,128,19,2,87.22,84.85,83.17,86.376,86.59949999999999,1.8937917270025848
2019-05-09,84.31,3.547,49.84,93.24,9,5,2019,3,129,19,2,85.61,86.72,84.32,86.52799999999999,86.7215,1.7329994533361608
2019-05-10,83.35,3.573,60.55,95.6,10,5,2019,4,130,19,2,84.31,86.21,88.58,86.04599999999999,86.721,1.7337300827984359
2019-05-13,79.17,3.576,51.91,97.76,13,5,2019,0,133,20,2,83.35,86.88,86.95,85.474,86.45949999999999,1.8303105143520444
2019-05-14,79.69,3.543,49.65,96.96,14,5,2019,1,134,20,2,79.17,87.22,89.61,83.93199999999999,86.0705,2.4443328117785277
2019-05-15,79.27,3.63,57.2,96.12,15,5,2019,2,135,20,2,79.69,85.61,85.62,82.426,85.5745,2.6831138136207335
2019-05-16,80.46,3.615,53.01,94.63,16,5,2019,3,136,20,2,79.27,84.31,88.46,81.158,85.25699999999999,3.0306454063363573
2019-05-17,83.48,3.595,53.87,96.5,17,5,2019,4,137,20,2,80.46,83.35,89.62,80.388,84.857,3.1124826780325923
2019-05-20,79.52,3.574,50.85,97.71,20,5,2019,0,140,21,2,83.48,79.17,86.14,80.414,84.55,2.914468444809411
2019-05-21,81.27,3.664,50.05,96.89,21,5,2019,1,141,21,2,79.52,79.69,88.63,80.484,84.21900000000001,3.094732196559401
2019-05-22,85.3,3.596,50.4,96.54,22,5,2019,2,142,21,2,81.27,79.27,85.73,80.8,83.851,2.9779998586123315
2019-05-23,81.07,3.596,45.98,95.15,23,5,2019,3,143,21,2,85.3,80.46,86.34,82.006,83.8295,2.9652451305433174
2019-05-24,83.03,3.63,50.34,97.71,24,5,2019,4,144,21,2,81.07,83.48,84.7,82.128,83.566,2.964566889463888
2019-05-27,79.44,3.748,51.18,91.77,27,5,2019,0,147,22,2,83.03,79.52,83.71,82.03799999999998,83.48249999999999,2.9544469159129765
2019-05-28,78.73,3.542,56.45,97.11,28,5,2019,1,148,22,2,79.44,81.27,88.53,82.022,83.26899999999999,3.088388951506886
2019-05-29,77.33,3.696,50.1,100.46,29,5,2019,2,149,22,2,78.73,85.3,84.85,81.514,82.779,2.985466374569394
2019-05-30,79.97,3.517,41.47,94.42,30,5,2019,3,150,22,2,77.33,81.07,86.72,79.92,82.40299999999999,3.1782337034404056
2019-05-31,82.55,3.673,49.14,96.4,31,5,2019,4,151,22,2,79.97,83.03,86.21,79.7,82.0655,3.0515491751602752
2019-06-03,74.46,3.776,58.56,96.84,3,6,2019,0,154,23,2,82.55,79.44,86.88,79.60400000000001,81.8825,2.8956880375010394
2019-06-04,80.93,3.709,51.84,96.24,4,6,2019,1,155,23,2,74.46,78.73,87.22,78.608,81.2615,3.092613057968312
2019-06-05,80.54,3.696,45.81,98.58,5,6,2019,2,156,23,2,80.93,77.33,85.61,79.048,80.947,2.756321156140882
2019-06-06,77.46,3.654,50.55,97.83,6,6,2019,3,157,23,2,80.54,79.97,84.31,79.69,80.6935,2.528632405492266
2019-06-07,75.88,3.705,45.73,97.45,7,6,2019,4,158,23,2,77.46,82.55,83.35,79.188,80.351,2.4763723468009315
2019-06-10,80.17,3.695,43.11,98.52,10,6,2019,0,161,24,2,75.88,74.46,79.17,77.854,79.9775,2.5620897617704164
2019-06-11,78.11,3.668,46.47,97.45,11,6,2019,1,162,24,2,80.17,80.93,79.69,78.99600000000001,80.0275,2.5552502709849745
2019-06-12,79.51,3.714,47.86,102.31,12,6,2019,2,163,24,2,78.11,80.54,79.27,78.43199999999999,79.9485,2.590416091348291
2019-06-13,80.71,3.759,40.83,97.88,13,6,2019,3,164,24,2,79.51,77.46,80.46,78.226,79.9605,2.5876619705217636
2019-06-14,84.61,3.702,43.21,98.06,14,6,2019,4,165,24,2,80.71,75.88,83.48,78.876,79.973,2.5908037769245826
2019-06-17,79.56,3.711,46.82,95.31,17,6,2019,0,168,25,2,84.61,80.17,79.52,80.622,80.0295,2.682024912557546
2019-06-18,77.22,3.684,45.21,97.18,18,6,2019,1,169,25,2,79.56,78.11,81.27,80.5,80.0315,2.6816398655340388
